Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camo-on-white,Camo on White,"Premium golf hat with camo pattern on white base. Perfect for the course or casual wear.",At The Turn Golf Co.,,Hats,"golf,hats,camo",TRUE,Title,Default Title,CAMO-WHITE-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/zoqj7r1c_Camo%20on%20White.jpg,1,Camo on White Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
blue2-on-white,Blue 2 on White,"Classic golf hat with blue pattern on white. Clean and stylish design.",At The Turn Golf Co.,,Hats,"golf,hats,blue",TRUE,Title,Default Title,BLUE2-WHITE-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/nhif3hsg_Blue%202%20on%20White.jpg,1,Blue 2 on White Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
carolina-blue-white,Carolina on Blue/White,"Carolina blue and white golf hat. Premium quality and comfort.",At The Turn Golf Co.,,Hats,"golf,hats,carolina",TRUE,Title,Default Title,CAROLINA-BW-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/wleyt7mh_Carolina%20on%20BlueWhite.jpg,1,Carolina on Blue/White Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
diego-grey-tan,Diego on Grey/Tan/Lite Tan,"Diego style with grey and tan tones. Versatile and stylish.",At The Turn Golf Co.,,Hats,"golf,hats,diego",TRUE,Title,Default Title,DIEGO-GTL-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/08ud1a25_Diego%20on%20GreyTanLiteTan.jpg,1,Diego on Grey/Tan/Lite Tan Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
blue2-cyan-white,Blue 2 on Cyan/White,"Modern golf hat with cyan and white colorway. Stand out on the course.",At The Turn Golf Co.,,Hats,"golf,hats,blue,cyan",TRUE,Title,Default Title,BLUE2-CW-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/tbhl66o1_Blue2%20on%20Cyan%20white.jpg,1,Blue 2 on Cyan/White Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
cali-white-blue-orange,Cali on White/Lite Blue/Orange,"California vibes with white, blue and orange accents. Perfect summer hat.",At The Turn Golf Co.,,Hats,"golf,hats,cali,colorful",TRUE,Title,Default Title,CALI-WBO-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/ht274tse_Cali%20on%20WhiteLiteBlueOrangy.jpg,1,Cali on White/Lite Blue/Orange Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
camo-brown-tan,Camo on Brown/Tan,"Earth-tone camo pattern on brown and tan base. Classic outdoor style.",At The Turn Golf Co.,,Hats,"golf,hats,camo,brown",TRUE,Title,Default Title,CAMO-BT-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/3c96tupo_Camo%20on%20BrownTan.jpg,1,Camo on Brown/Tan Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
carolina-grey-blue,Carolina on Grey/Blue,"Sleek grey and blue Carolina design. Modern and sophisticated.",At The Turn Golf Co.,,Hats,"golf,hats,carolina,grey",TRUE,Title,Default Title,CAROLINA-GB-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/zzjbm42q_Carolina%20on%20GreyBlue.jpg,1,Carolina on Grey/Blue Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
pink-grey-pink,Pink on Grey/Pink,"Stylish pink on grey/pink colorway. Bold and fashionable.",At The Turn Golf Co.,,Hats,"golf,hats,pink",TRUE,Title,Default Title,PINK-GP-001,200,shopify,100,deny,manual,28.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/apgebftr_Pink%20on%20GreyPink.jpg,1,Pink on Grey/Pink Hat,FALSE,,,,,,,,,,,,,,,,,lb,,18.00,active
carolina-blue-towel,Carolina Blue Towel,"Premium golf towel in Carolina blue. Soft, absorbent, and stylish.",At The Turn Golf Co.,,Towels,"golf,towels,carolina,blue",TRUE,Title,Default Title,TOWEL-CB-001,150,shopify,100,deny,manual,24.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/blbsokeu_Carolina%20Blue%20Towel.png,1,Carolina Blue Golf Towel,FALSE,,,,,,,,,,,,,,,,,lb,,15.00,active
desert-towel,Desert Towel,"Desert-inspired golf towel with warm tones. High-quality and functional.",At The Turn Golf Co.,,Towels,"golf,towels,desert",TRUE,Title,Default Title,TOWEL-DESERT-001,150,shopify,100,deny,manual,24.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/s2sgdgox_Desert%20Towel.png,1,Desert Golf Towel,FALSE,,,,,,,,,,,,,,,,,lb,,15.00,active
sunset-towel,Sunset Towel,"Beautiful sunset-colored golf towel. Perfect for those golden hour rounds.",At The Turn Golf Co.,,Towels,"golf,towels,sunset",TRUE,Title,Default Title,TOWEL-SUNSET-001,150,shopify,100,deny,manual,24.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/nmx4x4ks_Untitled%20Project%20%283%29.png,1,Sunset Golf Towel,FALSE,,,,,,,,,,,,,,,,,lb,,15.00,active
og-towel,OG Towel,"The original. Classic golf towel design. Timeless and reliable.",At The Turn Golf Co.,,Towels,"golf,towels,classic",TRUE,Title,Default Title,TOWEL-OG-001,150,shopify,100,deny,manual,24.00,,TRUE,TRUE,,https://customer-assets.emergentagent.com/job_github-att/artifacts/8navq80a_OG%20Towel.png,1,OG Golf Towel,FALSE,,,,,,,,,,,,,,,,,lb,,15.00,active
